,term,estimate,Exp OR,std.error,statistic,df,p.value,
,HGCParentEd,0.31539,1.37080,0.01290,24.44154,1225.78142,0.00000,
,DV_RACE_BLACK,-0.35319,0.70245,0.33589,-1.05150,183.49418,0.29441,
,DV_RACE_HISPANIC,2.12674,8.38747,0.24388,8.72026,837.64902,0.00000,
,DV_RACE_MIXED,-0.60886,0.54397,1.39689,-0.43587,212.98025,0.66337,
,HGCParentEd:DV_RACE_BLACK,-0.00775,0.99228,0.02519,-0.30778,180.96087,0.75860,
,HGCParentEd:DV_RACE_HISPANIC,-0.18025,0.83506,0.01901,-9.48112,629.05546,0.00000,
,HGCParentEd:DV_RACE_MIXED,0.00492,1.00494,0.09147,0.05383,283.46751,0.95711,
,,,,,,,,
,term,estimate,std.error,statistic,df,p.value,,
,None|GED,1.29835,0.18271,7.10594,1994.93353,0.00000,,
,GED|HS,2.50778,0.18066,13.88137,1569.12418,0.00000,,
,HS|AA,4.54876,0.18585,24.47482,1144.05748,0.00000,,
,AA|BA,5.02543,0.18823,26.69807,1111.77536,0.00000,,
,BA|MA,6.66203,0.19898,33.48022,1123.84363,0.00000,,
,MA|PhD,9.28300,0.24342,38.13569,1927.32437,0.00000,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
