"","PUBID_1997","KEY_SEX_1997","KEY_BDATE_M_1997","KEY_BDATE_Y_1997","CV_SAMPLE_TYPE_1997","SAMPLING_WEIGHT_CC_1997","CV_HGC_RES_DAD_1997","CV_HGC_RES_MOM_1997","KEY_RACE_ETHNICITY_1997","CV_HIGHEST_DEGREE_EVER_EDT_2017","SAMPLING_WEIGHT_CC_2017","degree_label","race"
"1",2,1,7,1982,1,272178,14,15,2,2,371306,"HS Diploma","Hispanic"
"2",3,2,9,1983,1,169357,NA,12,2,4,226514,"BA","Hispanic"
"3",4,2,2,1981,1,149099,NA,12,2,2,181644,"HS Diploma","Hispanic"
"4",5,1,10,1982,1,245150,12,12,2,2,334434,"HS Diploma","Hispanic"
"5",6,2,1,1982,1,218371,NA,12,2,2,285489,"HS Diploma","Hispanic"
"6",9,1,10,1982,1,313027,6,12,4,5,450563,"MA","Non-Black/Non-Hispanic"
"7",10,1,3,1984,1,322580,6,12,4,4,446683,"BA","Non-Black/Non-Hispanic"
"8",11,2,6,1982,1,218371,NA,14,2,4,285489,"BA","Hispanic"
"9",12,1,10,1981,1,262572,12,12,2,1,363659,"GED","Hispanic"
"10",13,1,11,1984,1,225943,NA,6,2,1,294922,"GED","Hispanic"
"11",14,1,7,1980,1,277820,12,12,2,1,393169,"GED","Hispanic"
"12",16,1,2,1982,1,99849,NA,11,2,3,136214,"AA","Hispanic"
"13",18,1,2,1982,1,96678,NA,15,1,1,127186,"GED","Black"
"14",20,1,12,1980,1,116518,NA,11,1,1,168996,"GED","Black"
"15",21,1,8,1982,1,99849,NA,13,2,1,136214,"GED","Hispanic"
"16",22,1,6,1982,1,99849,NA,11,2,2,136214,"HS Diploma","Hispanic"
"17",23,2,1,1983,1,91807,NA,10,2,3,122791,"AA","Hispanic"
"18",24,1,6,1984,1,99444,13,7,2,0,129804,"None","Hispanic"
"19",25,2,3,1983,1,99208,12,12,2,1,132690,"GED","Hispanic"
"20",26,1,10,1980,1,125910,NA,12,1,0,182619,"None","Black"
"21",27,1,5,1981,1,114180,NA,10,1,0,141425,"None","Black"
"22",28,2,11,1983,1,110561,16,12,1,4,137850,"BA","Black"
"23",31,1,7,1982,1,273066,12,12,4,4,393045,"BA","Non-Black/Non-Hispanic"
"24",32,2,7,1981,1,253941,16,16,4,4,352573,"BA","Non-Black/Non-Hispanic"
"25",33,2,12,1980,1,314483,16,14,4,4,431911,"BA","Non-Black/Non-Hispanic"
"26",34,2,12,1984,1,318843,9,16,4,4,406049,"BA","Non-Black/Non-Hispanic"
"27",35,1,1,1983,1,277640,NA,NA,4,4,387018,"BA","Non-Black/Non-Hispanic"
"28",36,2,8,1980,1,348666,16,15,4,3,478858,"AA","Non-Black/Non-Hispanic"
"29",37,2,11,1980,1,320649,11,NA,4,4,440380,"BA","Non-Black/Non-Hispanic"
"30",38,2,9,1981,1,258920,11,NA,4,4,359487,"BA","Non-Black/Non-Hispanic"
"31",39,1,2,1980,1,108588,NA,NA,2,4,153672,"BA","Hispanic"
"32",41,2,1,1983,1,275578,12,12,4,4,355133,"BA","Non-Black/Non-Hispanic"
"33",43,2,10,1981,1,97296,NA,NA,1,1,122277,"GED","Black"
"34",44,1,12,1981,1,100654,NA,NA,2,2,139405,"HS Diploma","Hispanic"
"35",45,2,2,1984,1,97883,NA,8,1,3,106157,"AA","Black"
"36",47,2,9,1982,1,102097,NA,NA,1,2,122082,"HS Diploma","Black"
"37",48,2,7,1983,1,96295,NA,NA,1,4,120063,"BA","Black"
"38",49,2,12,1982,1,102097,NA,12,1,2,122082,"HS Diploma","Black"
"39",50,2,2,1983,1,96295,NA,12,1,1,120063,"GED","Black"
"40",51,1,6,1980,1,109664,NA,12,1,2,159055,"HS Diploma","Black"
"41",52,1,12,1983,1,104863,NA,12,1,2,148918,"HS Diploma","Black"
"42",54,2,12,1984,1,97883,NA,NA,1,3,106157,"AA","Black"
"43",55,2,2,1981,1,76071,12,10,2,4,92676,"BA","Hispanic"
"44",56,2,2,1982,1,279754,16,18,4,5,348622,"MA","Non-Black/Non-Hispanic"
"45",57,1,12,1982,1,90991,12,12,1,2,119704,"HS Diploma","Black"
"46",58,1,11,1983,1,104863,12,12,1,2,148918,"HS Diploma","Black"
"47",59,2,4,1981,1,97296,NA,NA,1,2,122277,"HS Diploma","Black"
"48",61,2,5,1983,1,96295,NA,12,1,3,120063,"AA","Black"
"49",62,1,3,1980,1,113580,14,14,1,4,164736,"BA","Black"
"50",63,2,10,1984,1,101379,14,14,1,4,109949,"BA","Black"
"51",64,1,3,1980,1,113580,12,15,1,2,164736,"HS Diploma","Black"
"52",67,1,11,1980,1,113580,NA,18,1,6,164736,"PhD","Black"
"53",68,1,1,1981,1,102999,NA,18,1,2,127576,"HS Diploma","Black"
"54",69,2,7,1981,1,100771,12,16,1,4,126644,"BA","Black"
"55",70,1,8,1982,1,94241,12,16,1,4,123980,"BA","Black"
"56",71,1,1,1980,1,113580,NA,NA,1,2,164736,"HS Diploma","Black"
"57",72,2,4,1982,1,105744,12,11,1,3,126443,"AA","Black"
"58",75,1,1,1982,1,289129,8,NA,4,2,416165,"HS Diploma","Non-Black/Non-Hispanic"
"59",76,1,1,1982,1,289129,8,NA,4,2,416165,"HS Diploma","Non-Black/Non-Hispanic"
"60",78,2,7,1981,1,313374,NA,NA,4,3,435091,"AA","Non-Black/Non-Hispanic"
"61",79,1,12,1983,1,109775,14,NA,2,1,165989,"GED","Hispanic"
"62",80,1,6,1981,1,122722,NA,12,1,1,152005,"GED","Black"
"63",81,2,1,1984,1,120792,NA,12,1,0,131003,"None","Black"
"64",82,1,7,1984,1,86613,NA,NA,2,4,113055,"BA","Hispanic"
"65",84,2,2,1984,1,83226,NA,6,2,2,107786,"HS Diploma","Hispanic"
"66",85,1,2,1984,1,319696,NA,12,4,2,442690,"HS Diploma","Non-Black/Non-Hispanic"
"67",86,2,10,1980,1,357282,12,12,4,5,490691,"MA","Non-Black/Non-Hispanic"
"68",88,1,1,1981,1,297457,12,12,4,2,415204,"HS Diploma","Non-Black/Non-Hispanic"
"69",89,1,11,1981,1,268901,6,6,4,5,375344,"MA","Non-Black/Non-Hispanic"
"70",90,1,11,1981,1,237947,12,16,2,4,329554,"BA","Hispanic"
"71",91,2,9,1982,1,197891,12,16,2,4,258715,"BA","Hispanic"
"72",92,1,4,1983,1,261077,12,10,4,2,363930,"HS Diploma","Non-Black/Non-Hispanic"
"73",94,2,9,1980,1,80941,NA,10,1,3,97438,"AA","Black"
"74",97,1,6,1980,1,251167,12,12,2,4,355449,"BA","Hispanic"
"75",100,2,1,1981,1,101111,NA,10,1,1,127072,"GED","Black"
"76",102,2,4,1982,1,217367,12,12,2,4,284177,"BA","Hispanic"
"77",104,2,11,1980,1,336171,16,13,4,4,461698,"BA","Non-Black/Non-Hispanic"
"78",105,1,8,1983,1,267691,16,13,4,2,373150,"HS Diploma","Non-Black/Non-Hispanic"
"79",107,2,8,1982,1,299047,19,16,4,5,372665,"MA","Non-Black/Non-Hispanic"
"80",108,1,9,1984,1,300806,19,16,4,4,416533,"BA","Non-Black/Non-Hispanic"
"81",109,2,3,1982,1,299047,12,12,4,4,372665,"BA","Non-Black/Non-Hispanic"
"82",110,2,2,1984,1,307418,12,12,4,5,391499,"MA","Non-Black/Non-Hispanic"
"83",111,2,1,1981,1,271454,13,12,4,4,376889,"BA","Non-Black/Non-Hispanic"
"84",112,2,4,1984,1,306442,12,12,4,5,390256,"MA","Non-Black/Non-Hispanic"
"85",114,2,7,1982,1,298098,13,12,4,4,371483,"BA","Non-Black/Non-Hispanic"
"86",116,1,10,1984,1,112046,NA,12,1,2,166157,"HS Diploma","Black"
"87",117,1,10,1984,1,112046,NA,12,1,2,166157,"HS Diploma","Black"
"88",120,1,6,1982,1,277203,17,NA,4,5,399000,"MA","Non-Black/Non-Hispanic"
"89",121,1,12,1981,1,261824,14,14,4,2,365466,"HS Diploma","Non-Black/Non-Hispanic"
"90",122,1,6,1984,1,281400,14,14,4,2,389660,"HS Diploma","Non-Black/Non-Hispanic"
"91",126,1,5,1981,1,261824,NA,12,4,2,365466,"HS Diploma","Non-Black/Non-Hispanic"
"92",128,2,8,1982,1,288362,NA,16,4,4,359349,"BA","Non-Black/Non-Hispanic"
"93",129,2,8,1980,1,324159,17,16,4,4,445200,"BA","Non-Black/Non-Hispanic"
"94",133,1,7,1982,1,281468,16,16,4,4,405138,"BA","Non-Black/Non-Hispanic"
"95",137,2,5,1980,1,327319,NA,12,4,1,449540,"GED","Non-Black/Non-Hispanic"
"96",138,1,4,1984,1,297033,18,16,4,3,411307,"AA","Non-Black/Non-Hispanic"
"97",143,1,8,1981,1,127078,14,12,1,2,157401,"HS Diploma","Black"
"98",144,1,8,1982,1,116272,12,16,1,2,152964,"HS Diploma","Black"
"99",145,1,4,1984,1,135224,12,16,1,4,200527,"BA","Black"
"100",146,1,7,1984,1,135224,12,12,1,2,200527,"HS Diploma","Black"
"101",147,2,2,1984,1,317541,13,12,4,2,404391,"HS Diploma","Non-Black/Non-Hispanic"
"102",148,2,10,1982,1,116180,NA,6,1,1,138921,"GED","Black"
"103",149,2,4,1983,1,109578,NA,11,1,2,136623,"HS Diploma","Black"
"104",150,1,2,1984,1,120418,NA,11,1,2,178571,"HS Diploma","Black"
"105",152,1,5,1982,1,103541,14,12,1,2,136215,"HS Diploma","Black"
"106",153,2,2,1980,1,92105,12,10,1,2,110878,"HS Diploma","Black"
"107",155,1,2,1980,1,310475,18,14,4,4,457171,"BA","Non-Black/Non-Hispanic"
