"","term","m","qbar","ubar","b","t","r","df","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","conf.low.or","conf.high.or"
"1","(Intercept):1",5,1.36635912727591,8.06099264418774e-08,0.00656971559105066,0.00788373931918724,97800.0980430765,4.0000817999272,0.0887904235781497,15.3885866539796,0.000104032424636953,1.1198393785046,1.61287887604723,3.92104863625123,3.06436196136107,5.01723445262282
"2","(Intercept):2",5,2.57348298696529,7.59698502955657e-08,0.00677426834078835,0.00812919797879632,107004.581124211,4.00007476350356,0.0901620650761523,28.5428576285569,8.96483195506015e-06,2.3231548079249,2.82381116600568,13.1114118812976,10.2078272956007,16.8409120318012
"3","(Intercept):3",5,4.59243231483054,8.25659222247012e-08,0.00752985057437697,0.00903590325517459,109437.652312071,4.00007310131734,0.0950573682318977,48.3122181925661,1.09798180794931e-06,4.32851265223968,4.8563519774214,98.7342912156995,75.8314149651215,128.55437639335
"4","(Intercept):4",5,5.05636283833392,8.53096518821781e-08,0.0076620280603505,0.00919451898207249,107777.179598847,4.00007422756045,0.0958880544284453,52.7319369286728,7.73967814357727e-07,4.79013686730223,5.32258880936562,157.018375253976,120.317835113832,204.913678375883
"5","(Intercept):5",5,6.63142999804881,9.78242791763198e-08,0.00830800837852387,0.00996970787850782,101913.452756031,4.00007849836339,0.0998484245169037,66.4149687902802,3.07840046048057e-07,6.3542084740678,6.90865152202981,758.566143522667,574.907106634948,1000.89664479349
"6","(Intercept):6",5,8.36843832468362,1.20911363809929e-07,0.00861244495346679,0.010335054855524,85475.2904814348,4.00009359484773,0.101661471834338,82.3167142250345,1.30507873783558e-07,8.08618343341029,8.65069321595695,4308.90170019631,3249.26284739285,5714.10647090376
"7","HGCParentEd",5,-0.321420738960793,3.95588983194818e-10,3.23472160625712e-05,3.88170548640687e-05,98123.7115391791,4.00008153014842,0.00623033344726176,-51.5896527339252,8.44719372323513e-07,-0.338718778717073,-0.304122699204513,0.725118101364054,0.712682842493712,0.737770337063292
"8","DV_RACE_BLACK:1",5,0.419038302858747,5.17257845160489e-07,0.0231072685784075,0.0277292395519341,53607.1565729189,4.00014923519784,0.166520988322596,2.51642935271894,0.0656036451735796,-0.0432912776680994,0.881367883385594,1.52049859311768,0.957632412503026,2.41419979262193
"9","DV_RACE_BLACK:2",5,0.612336041780123,5.0930466027737e-07,0.0245312038707938,0.0294379539496128,57799.2838881952,4.00013841121666,0.17157492226317,3.56891341521864,0.0233971296312795,0.135974189228261,1.08869789433198,1.84473574903622,1.14565232304264,2.97040377375079
"10","DV_RACE_BLACK:3",5,0.621591468277843,5.73310278382159e-07,0.0278715697337131,0.0334464569907341,58338.1895312214,4.00013713261639,0.182883725330424,3.39883424375125,0.0273051824191017,0.113831709261127,1.12935122729456,1.86188882222484,1.12056352855092,3.09364877403138
"11","DV_RACE_BLACK:4",5,0.597021610849361,5.92256803063523e-07,0.0290517524949284,0.0348626952507172,58863.1533037451,4.00013590960567,0.18671554635519,3.19749277713406,0.0329779732808224,0.0786230924362432,1.11542012926248,1.8166998953341,1.08179650793474,3.05084966118788
"12","DV_RACE_BLACK:5",5,0.401526095596146,6.71586857542597e-07,0.0325623101202261,0.0390754437311288,58182.752841903,4.00013749897277,0.197675096385784,2.03124269540016,0.112051716122454,-0.147300518132739,0.950352709325031,1.49410310283243,0.863034580900852,2.58662182407956
"13","DV_RACE_BLACK:6",5,0.122873757099388,8.44969983288057e-07,0.0344518740541158,0.0413430938349222,48927.4763395294,4.00016350898007,0.203330012135253,0.604307036669303,0.57823956718075,-0.44165175936206,0.687399273560837,1.13074166382916,0.642973505976762,1.98853716122689
"14","DV_RACE_HISPANIC",5,-2.02835765620325,2.15262149048623e-07,0.00852041407516073,0.0102247121523419,47497.8854172982,4.00016843032367,0.1011173187557,-20.0594485807497,3.64395657119623e-05,-2.30909967898146,-1.74761563342505,0.131551396449151,0.0993506587923175,0.174188778595798
"15","DV_RACE_MIXED:1",5,-0.054841835518136,5.60106559337062e-06,0.251703894211316,0.302050274119172,53926.2874212858,4.00014835202937,0.549591006221146,-0.099786632054289,0.925314703815703,-1.5807287765613,1.47104510552503,0.946634860125764,0.205825043066076,4.35378292678235
"16","DV_RACE_MIXED:2",5,0.973368907765282,4.83637766204699e-06,0.285424850758943,0.342514657288393,70819.4944324849,4.00011296404395,0.585247517968589,1.6631747728617,0.171608955429557,-0.651520601777001,2.59825841730756,2.64684643747982,0.521252556264288,13.4403102285172
"17","DV_RACE_MIXED:3",5,0.713178781774932,5.42559195937767e-06,0.331638109592937,0.397971157103484,73349.7348291508,4.0001090672591,0.630849551877057,1.1305053315056,0.321454597260009,-1.03832153438231,2.46467909793217,2.04046716027608,0.354048441653078,11.7597078318589
"18","DV_RACE_MIXED:4",5,0.840931311055638,5.68756737503804e-06,0.359953718764576,0.431950150084867,75945.3794627977,4.00010533955753,0.657229145796857,1.27951007108191,0.269892382156332,-0.983810382556162,2.66567300466744,2.3185252398066,0.373883741103719,14.3776224977084
"19","DV_RACE_MIXED:5",5,1.03081948044492,6.62890198775891e-06,0.440405519944194,0.528493252835021,79724.6097330974,4.00010034605625,0.72697541418883,1.41795645399525,0.229181496870107,-0.98756788117734,3.04920684206718,2.80336219415787,0.372481509553418,21.0986032596783
"20","DV_RACE_MIXED:6",5,0.540365898416397,7.69283273514519e-06,0.455617855278202,0.546749119166577,71071.5343953885,4.00011256343836,0.739424857011568,0.730792173528383,0.505407794717159,-1.51258384304712,2.59331563987991,1.71663486126319,0.220339918038625,13.3740416767674
"21","HGCParentEd:DV_RACE_BLACK",5,-0.0096657108122813,3.07197950864005e-09,0.000201230665368044,0.000241479870421162,78606.252991757,4.00010177372133,0.0155396225958407,-0.622004218742637,0.567636999030216,-0.0528101869870578,0.0334787653624952,0.990380852028726,0.948560044435545,1.03404548591209
"22","HGCParentEd:DV_RACE_HISPANIC",5,0.167390539246327,1.34994316806785e-09,4.79634241192453e-05,5.75574588862624e-05,42635.9496492533,4.00018763728458,0.00758666322478218,22.0637893480679,2.49656121509266e-05,0.146326974932413,0.188454103560242,1.18221587686133,1.15757462406235,1.20738166719498
"23","HGCParentEd:DV_RACE_MIXED",5,-0.0199797934122938,2.33311062770771e-08,0.00152137177866384,0.00182566946550288,78249.445727754,4.00010223779918,0.042727853509191,-0.46760583018747,0.664404514310044,-0.138610137361279,0.0986505505366918,0.980218479977329,0.870567363996541,1.10368055158668
